PDF页码	图片文件	行数	字符数	平均置信度	错误
148	page-148.jpg	38	1106	0.9079	-
149	page-149.jpg	48	924	0.8458	-
150	page-150.jpg	75	1002	0.8120	-
151	page-151.jpg	67	1009	0.7806	-
152	page-152.jpg	60	1060	0.7567	-
153	page-153.jpg	48	956	0.8229	-
154	page-154.jpg	49	883	0.7755	-
155	page-155.jpg	57	879	0.7386	-
156	page-156.jpg	39	1161	0.8154	-
157	page-157.jpg	50	1046	0.6760	-
158	page-158.jpg	47	699	0.5851	-
159	page-159.jpg	40	1241	0.7425	-
160	page-160.jpg	42	1157	0.7095	-
161	page-161.jpg	23	571	0.6391	-
162	page-162.jpg	41	860	0.7902	-
163	page-163.jpg	82	1099	0.6927	-
164	page-164.jpg	57	864	0.7140	-
165	page-165.jpg	47	840	0.7723	-
166	page-166.jpg	55	623	0.5873	-
167	page-167.jpg	50	900	0.5680	-
168	page-168.jpg	42	755	0.7619	-
169	page-169.jpg	50	866	0.6460	-
170	page-170.jpg	67	1043	0.7254	-
171	page-171.jpg	69	653	0.7812	-
172	page-172.jpg	65	929	0.7954	-
173	page-173.jpg	37	757	0.7676	-
174	page-174.jpg	49	793	0.7286	-
175	page-175.jpg	49	681	0.7306	-
176	page-176.jpg	53	720	0.5717	-
177	page-177.jpg	41	1135	0.7829	-
178	page-178.jpg	43	961	0.6860	-
179	page-179.jpg	69	1391	0.5145	-
180	page-180.jpg	8	145	0.7250	-
181	page-181.jpg	55	1038	0.6818	-
182	page-182.jpg	60	1103	0.7533	-
183	page-183.jpg	48	1024	0.7083	-
184	page-184.jpg	63	855	0.7159	-
185	page-185.jpg	47	1206	0.8532	-
186	page-186.jpg	48	1270	0.6375	-
187	page-187.jpg	52	1015	0.8615	-
188	page-188.jpg	41	1264	0.8195	-
189	page-189.jpg	61	1057	0.7000	-
190	page-190.jpg	47	1007	0.7043	-
191	page-191.jpg	42	1054	0.7071	-
192	page-192.jpg	41	1086	0.7659	-
193	page-193.jpg	73	677	0.6233	-
194	page-194.jpg	52	919	0.6519	-
195	page-195.jpg	47	888	0.7660	-
196	page-196.jpg	45	1005	0.7311	-
197	page-197.jpg	64	691	0.6531	-
198	page-198.jpg	38	1216	0.8132	-
199	page-199.jpg	44	615	0.6455	-
200	page-200.jpg	32	776	0.5844	-
201	page-201.jpg	43	887	0.7977	-
202	page-202.jpg	43	736	0.8395	-
203	page-203.jpg	54	757	0.8611	-
204	page-204.jpg	54	986	0.8278	-
205	page-205.jpg	55	907	0.7818	-
206	page-206.jpg	59	1169	0.8458	-
207	page-207.jpg	51	1074	0.8353	-
208	page-208.jpg	37	788	0.7595	-
209	page-209.jpg	39	1025	0.9103	-
210	page-210.jpg	39	1101	0.8410	-
211	page-211.jpg	37	783	0.6378	-
212	page-212.jpg	41	794	0.7829	-
213	page-213.jpg	59	1216	0.6593	-
214	page-214.jpg	82	1292	0.6720	-
215	page-215.jpg	41	1059	0.7488	-
216	page-216.jpg	52	905	0.7173	-
217	page-217.jpg	59	1330	0.6864	-
218	page-218.jpg	48	948	0.6979	-
219	page-219.jpg	58	863	0.7690	-
220	page-220.jpg	49	1008	0.7878	-
221	page-221.jpg	38	513	0.5684	-
222	page-222.jpg	64	755	0.5891	-
223	page-223.jpg	80	721	0.5750	-
224	page-224.jpg	56	762	0.5839	-
225	page-225.jpg	68	850	0.6221	-
226	page-226.jpg	43	847	0.8116	-
227	page-227.jpg	39	1237	0.8282	-
228	page-228.jpg	41	1001	0.7122	-
